date,ticker,S_recency,S_breadth,S_volume,S_events,pos,neg,total,smart_score,S_breadth_raw,S_volume_raw
2025-09-07,BEL.NS,61.17880517486437,80.0,51.33543567051608,55.00000000000001,4,1,5,62.41,,
2025-09-07,BHEL.NS,53.0540981527766,41.66666666666667,87.46468725264032,54.16666666666666,4,6,12,54.5,,
2025-09-07,BLS.NS,69.1067592850526,66.66666666666666,32.389053777082125,78.33333333333334,2,1,3,67.25,,
2025-09-07,COALINDIA.NS,65.45732196308997,66.66666666666666,75.20505393182462,53.888888888888886,6,3,9,63.78,,
2025-09-07,DELTACORP.NS,50.0784145748207,62.5,100.0,55.93749999999999,9,5,16,59.02,,
2025-09-07,EASEMYTRIP.NS,61.15964308763454,62.5,42.81600015474249,50.0,2,1,4,56.8,,
2025-09-07,HCLTECH.NS,50.756641683340064,50.0,0.0,50.0,0,0,1,45.34,,
2025-09-07,HDFCBANK.NS,50.917399332603686,50.0,18.946381893433973,50.0,1,1,2,47.31,,
2025-09-07,IEX.NS,67.76005028581619,100.0,0.0,50.0,1,0,1,62.99,,
2025-09-07,INDUSINDBK.NS,47.54378978168965,50.0,0.0,35.0,0,0,1,40.14,,
2025-09-07,INFY.NS,81.27099066972731,100.0,0.0,50.0,1,0,1,69.07,,
2025-09-07,IOB.NS,44.78987574577332,0.0,0.0,15.000000000000002,0,1,1,23.91,,
2025-09-07,IRFC.NS,81.04442089796066,100.0,0.0,50.0,1,0,1,68.97,,
2025-09-07,ITBEES.NS,23.0093558216095,0.0,18.946381893433973,50.0,0,2,2,24.75,,
2025-09-07,ITC.NS,80.50906161436848,100.0,70.28181756395006,53.75,8,0,8,76.69,,
2025-09-07,JIOFIN.NS,53.141516820430745,75.0,18.946381893433973,37.5,1,0,2,50.18,,
2025-09-07,NBCC.NS,83.02765199789457,100.0,32.389053777082125,50.0,3,0,3,73.1,,
2025-09-07,NESTLEIND.NS,58.48789099324001,66.66666666666666,32.389053777082125,60.0,2,1,3,57.89,,
2025-09-07,NHPC.NS,77.32665097014248,85.71428571428572,64.77810755416424,50.0,6,1,7,70.92,,
2025-09-07,NIFTYBEES.NS,51.91209135150909,50.0,0.0,50.0,0,0,1,45.86,,
2025-09-07,NMDC.NS,63.60747868788488,33.333333333333336,58.53851576479781,55.833333333333336,2,4,6,55.1,,
2025-09-07,ONGC.NS,71.71862016670521,87.5,42.81600015474249,63.74999999999999,3,0,4,69.99,,
2025-09-07,PNB.NS,71.63497406125398,100.0,18.946381893433973,65.0,2,0,2,70.38,,
2025-09-07,RELIANCE.NS,70.14573837901105,83.33333333333333,75.20505393182462,50.0,7,1,9,68.25,,
2025-09-07,SAIL.NS,30.74334533656007,50.0,18.946381893433973,50.0,1,1,2,38.23,,
2025-09-07,SILVERBEES.NS,84.21820561027526,100.0,0.0,50.0,1,0,1,70.4,,
2025-09-07,SJVN.NS,56.396352383807184,70.0,51.33543567051608,52.0,3,1,5,57.51,,
2025-09-07,SPICEJET.NS,56.20295314059596,100.0,18.946381893433973,85.0,2,0,2,68.44,,
2025-09-07,SUNTV.NS,35.70971596647195,25.0,18.946381893433973,35.0,0,1,2,31.71,,
2025-09-07,TATASTEEL.NS,55.176305627305375,50.0,58.53851576479781,58.333333333333336,3,3,6,55.27,,
2025-09-07,UPL.NS,65.66900751855592,75.0,42.81600015474249,57.49999999999999,3,1,4,63.21,,
2025-09-07,VEDL.NS,63.15890905761719,66.66666666666666,32.389053777082125,50.0,2,1,3,57.49,,
2025-09-07,YESBANK.NS,51.54534700943231,33.333333333333336,75.20505393182462,66.66666666666666,3,6,9,54.05,,
2025-09-08,ADANIENSOL.NS,64.69694645392894,50.0,18.946381893433973,50.0,1,1,2,53.51,,
2025-09-08,BEL.NS,61.17880517486437,80.0,51.33543567051608,55.00000000000001,4,1,5,62.41,,
2025-09-08,BHEL.NS,62.67540344220743,46.15384615384615,90.9275695418799,53.84615384615385,5,6,13,59.99,,
2025-09-08,BLS.NS,69.10675928505262,66.66666666666666,32.389053777082125,78.33333333333334,2,1,3,67.25,,
2025-09-08,COALINDIA.NS,65.45732196308997,66.66666666666666,75.20505393182462,53.888888888888886,6,3,9,63.78,,
2025-09-08,DELTACORP.NS,50.0784145748207,62.5,100.0,55.93749999999999,9,5,16,59.02,,
2025-09-08,EASEMYTRIP.NS,61.15964308763454,62.5,42.81600015474249,50.0,2,1,4,56.8,,
2025-09-08,HCLTECH.NS,50.756641683340064,50.0,0.0,50.0,0,0,1,45.34,,
2025-09-08,HDFCBANK.NS,50.917399332603686,50.0,18.946381893433973,50.0,1,1,2,47.31,,
2025-09-08,IEX.NS,67.76005028581619,100.0,0.0,50.0,1,0,1,62.99,,
2025-09-08,INDUSINDBK.NS,47.54378978168965,50.0,0.0,35.0,0,0,1,40.14,,
2025-09-08,INFY.NS,81.27099066972733,100.0,0.0,50.0,1,0,1,69.07,,
2025-09-08,IRFC.NS,81.04442089796066,100.0,0.0,50.0,1,0,1,68.97,,
2025-09-08,ITBEES.NS,23.0093558216095,0.0,18.946381893433973,50.0,0,2,2,24.75,,
2025-09-08,ITC.NS,80.42533157570534,100.0,64.77810755416424,54.285714285714285,7,0,7,76.24,,
2025-09-08,JIOFIN.NS,53.14151682043076,75.0,18.946381893433973,37.5,1,0,2,50.18,,
2025-09-08,NBCC.NS,82.31785625219345,100.0,0.0,50.0,1,0,1,69.54,,
2025-09-08,NESTLEIND.NS,58.48789099324001,66.66666666666666,32.389053777082125,60.0,2,1,3,57.89,,
2025-09-08,NHPC.NS,77.17788312746595,83.33333333333333,58.53851576479781,50.0,5,1,6,69.75,,
2025-09-08,NIFTYBEES.NS,51.91209135150909,50.0,0.0,50.0,0,0,1,45.86,,
2025-09-08,NMDC.NS,63.60747868788488,33.333333333333336,58.53851576479781,55.833333333333336,2,4,6,55.1,,
2025-09-08,ONGC.NS,71.71862016670521,87.5,42.81600015474249,63.74999999999999,3,0,4,69.99,,
2025-09-08,PNB.NS,61.023110230684274,100.0,0.0,80.0,1,0,1,67.46,,
2025-09-08,RELIANCE.NS,69.84978065702614,81.25,70.28181756395006,50.0,6,1,8,67.21,,
2025-09-08,SAIL.NS,71.38788984211595,50.0,18.946381893433973,50.0,1,1,2,56.52,,
2025-09-08,SJVN.NS,55.90120689269905,50.0,32.389053777082125,53.333333333333336,1,1,3,51.73,,
2025-09-08,SPICEJET.NS,56.20295314059596,100.0,18.946381893433973,85.0,2,0,2,68.44,,
2025-09-08,SUNTV.NS,35.70971596647195,25.0,18.946381893433973,35.0,0,1,2,31.71,,
2025-09-08,TATASTEEL.NS,54.78123369266938,40.0,51.33543567051608,57.99999999999999,2,3,5,52.29,,
2025-09-08,UPL.NS,65.66900751855592,75.0,42.81600015474249,57.49999999999999,3,1,4,63.21,,
2025-09-08,VEDL.NS,63.15890905761719,66.66666666666666,32.389053777082125,50.0,2,1,3,57.49,,
2025-09-08,YESBANK.NS,51.54534700943231,33.333333333333336,75.20505393182462,66.66666666666666,3,6,9,54.05,,
2025-09-09,ADANIENSOL.NS,64.69694645392894,33.33333333333333,18.453512321427134,50.0,1,1,2,50.13,,
2025-09-09,BEL.NS,61.17880517486437,73.33333333333334,50.0,55.00000000000001,4,1,5,60.95,,
2025-09-09,BHEL.NS,56.946472162333365,29.411764705882355,100.0,52.94117647058824,7,8,17,54.74,,
2025-09-09,BLS.NS,77.51225560903549,100.0,0.0,80.0,1,0,1,74.88,,
2025-09-09,COALINDIA.NS,79.10370871537958,60.0,77.58642925363405,50.0,7,3,10,67.86,,
2025-09-09,DELTACORP.NS,45.1784463099263,50.0,97.39860847955543,44.0625,9,5,16,51.09,,
2025-09-09,EASEMYTRIP.NS,61.15964308763454,50.0,41.702188357323486,50.0,2,1,4,54.19,,
2025-09-09,HCLTECH.NS,50.756641683340064,33.33333333333333,0.0,50.0,0,0,1,42.01,,
2025-09-09,HDFCBANK.NS,50.917399332603686,33.33333333333333,18.453512321427134,50.0,1,1,2,43.92,,
2025-09-09,IEX.NS,67.76005028581619,100.0,0.0,50.0,1,0,1,62.99,,
2025-09-09,INDUSINDBK.NS,47.54378978168965,33.33333333333333,0.0,35.0,0,0,1,36.81,,
